,University,Games,Attendance,Average,Year
0,Michigan,7,776405,110915,2005
1,Tennessee,6,645558,107593,2005
2,Ohio St,7,735120,105017,2005
3,Penn St,7,734013,104859,2005
4,Georgia,6,556206,92701,2005
5,LSU,6,549480,91580,2005
6,Southern California,6,544872,90812,2005
7,Florida,6,542435,90406,2005
8,Oklahoma,6,505984,84331,2005
9,Auburn,7,589124,84161,2005
10,Texas,5,416663,83333,2005
11,Florida St,6,496343,82724,2005
12,Wisconsin,6,495308,82551,2005
13,Alabama,7,567126,81018,2005
14,Notre Dame,6,484770,80795,2005
15,South Carolina,7,559071,79867,2005
16,Clemson,6,469391,78232,2005
17,Nebraska,7,542397,77485,2005
18,Michigan St,6,451097,75183,2005
19,Iowa,6,423510,70585,2005
20,Virginia Tech,6,390690,65115,2005
21,Washington,6,385957,64326,2005
22,UCLA,6,385305,64218,2005
23,Arkansas,6,382070,63678,2005
24,Purdue,6,377977,62996,2005
25,Kentucky,6,374697,62450,2005
26,Arizona St,7,428096,61157,2005
27,Virginia,6,365836,60973,2005
28,California,6,362263,60377,2005
29,Oregon,6,350602,58434,2005
30,Brigham Young,6,349222,58204,2005
31,West Virginia,6,337720,56287,2005
32,Mississippi,6,325348,54225,2005
33,Arizona,6,321676,53613,2005
34,Missouri,6,320181,53364,2005
35,North Carolina St,7,370476,52925,2005
36,Maryland,5,262129,52426,2005
37,North Carolina,6,310000,51667,2005
38,Georgia Tech,6,309644,51607,2005
39,Texas Tech,7,356802,50972,2005
40,Colorado,6,302452,50409,2005
41,Minnesota,6,294147,49025,2005
42,UTEP,6,287394,47899,2005
43,Illinois,6,287113,47852,2005
44,Mississippi St,6,286127,47688,2005
45,Iowa St,6,280232,46705,2005
46,Kansas St,6,275767,45961,2005
47,Miami (Fla),6,271862,45310,2005
48,Oklahoma St,6,269163,44861,2005
49,Kansas,6,262051,43675,2005
50,Stanford,6,261301,43550,2005
51,Oregon St,6,253140,42190,2005
52,Utah,6,249215,41536,2005
53,Louisville,6,246007,41001,2005
54,Pittsburgh,6,241630,40272,2005
55,Syracuse,6,241510,40252,2005
56,Connecticut,6,240000,40000,2005
57,Memphis,6,239946,39991,2005
58,Indiana,6,237214,39536,2005
59,Boston College,6,236572,39429,2005
60,Fresno St,6,235839,39307,2005
61,Baylor,5,194493,38899,2005
62,South Fla,5,194325,38865,2005
63,New Mexico,5,191707,38341,2005
64,San Diego St,6,217339,36223,2005
65,Vanderbilt,6,216187,36031,2005
66,Air Force,5,179906,35981,2005
67,Rutgers,6,199101,33184,2005
68,East Caro,5,165230,33046,2005
69,Navy,5,165066,33013,2005
70,Hawaii,7,229142,32735,2005
71,Northwestern,6,195163,32527,2005
72,TCU,5,156268,31254,2005
73,Washington St,5,155547,31109,2005
74,Army,6,185611,30935,2005
75,Boise St,7,210781,30112,2005
76,Colorado St,5,146737,29347,2005
77,Wake Forest,6,173544,28924,2005
78,UCF,5,142311,28462,2005
79,Southern Miss,5,139312,27862,2005
80,Marshall,6,159062,26510,2005
81,Tulsa,5,114132,22826,2005
82,Cincinnati,5,112113,22423,2005
83,Northern Ill,5,110880,22176,2005
84,Toledo,5,109086,21817,2005
85,Wyoming,5,103252,20650,2005
86,UAB,5,100506,20101,2005
87,UNLV,5,99570,19914,2005
88,Troy,5,97125,19425,2005
89,Western Mich,5,94530,18906,2005
90,Southern Methodist,6,111780,18630,2005
91,Arkansas St,6,110288,18381,2005
92,Ohio,5,90167,18033,2005
93,La-Lafayette,5,87957,17591,2005
94,Duke,6,104915,17486,2005
95,North Texas,5,82232,16446,2005
96,Louisiana Tech,5,82080,16416,2005
97,Central Mich,5,79855,15971,2005
98,Miami (Ohio),5,76203,15241,2005
99,Idaho,4,60700,15175,2005
100,Nevada,6,90458,15076,2005
101,Houston,6,90324,15054,2005
102,Bowling Green,5,74644,14929,2005
103,La-Monroe,5,73084,14617,2005
104,Middle Tenn St,5,72629,14526,2005
105,Tulane,6,85450,14242,2005
106,Ball St,4,51810,12953,2005
107,Temple,5,63674,12735,2005
108,New Mexico St,6,75339,12557,2005
109,San Jose St,5,62529,12506,2005
110,Utah St,5,54482,10896,2005
111,Akron,5,54464,10893,2005
112,Rice,5,50362,10072,2005
113,Buffalo,5,44572,8914,2005
114,Kent St,5,33292,6658,2005
115,Eastern Mich,4,20874,5219,2005
116,Montana,7,157355,22479,2005
117,Delaware,6,133060,22177,2005
118,Yale,5,108333,21667,2005
119,Southern U,4,79552,19888,2005
120,Appalachian St,7,125417,17917,2005
121,Ga Southern,6,97443,16241,2005
122,Tennessee St,4,60092,15023,2005
123,Jackson St,5,72986,14597,2005
124,Youngstown St,6,87261,14544,2005
125,South Carolina St,5,71128,14226,2005
126,Alabama St,4,56729,14182,2005
127,Montana St,6,82262,13710,2005
128,James Madison,6,81148,13525,2005
129,Texas St,10,128751,12875,2005
130,Western Ky,5,63992,12798,2005
131,Grambling,4,48855,12214,2005
132,Harvard,5,60845,12169,2005
133,Norfolk St,6,72056,12009,2005
134,Citadel,5,58369,11674,2005
135,Jacksonville St,6,68334,11389,2005
136,Furman,7,77366,11052,2005
137,Villanova,5,54695,10939,2005
138,Missouri St,5,53302,10660,2005
139,Lehigh,5,53278,10656,2005
140,UNI,7,74393,10628,2005
141,Western Ill,6,63310,10552,2005
142,Texas Southern,5,51164,10233,2005
143,Weber St,5,50757,10151,2005
144,Pennsylvania,5,50712,10142,2005
145,Ark-Pine Bluff,4,39604,9901,2005
146,Southern Ill,5,47904,9581,2005
147,Princeton,5,46850,9370,2005
148,Massachusetts,5,46763,9353,2005
149,Sam Houston St,4,37074,9269,2005
150,Western Caro,5,45497,9099,2005
151,Illinois St,6,54504,9084,2005
152,Alcorn St,6,53600,8933,2005
153,Idaho St,5,42399,8480,2005
154,Stephen F Austin,6,50830,8472,2005
155,Eastern Ky,5,42200,8440,2005
156,Morgan St,5,42153,8431,2005
157,Northwestern St,5,41916,8383,2005
158,Hampton,5,40709,8142,2005
159,Northern Ariz,5,39546,7909,2005
160,McNeese St,3,23689,7896,2005
161,Bethune-Cookman,4,30910,7728,2005
162,Cornell,5,38344,7669,2005
163,Howard,5,38166,7633,2005
164,Elon,6,44293,7382,2005
165,Southeastern La,4,29387,7347,2005
166,Coastal Caro,5,36634,7327,2005
167,New Hampshire,8,58275,7284,2005
168,Eastern Wash,5,35451,7090,2005
169,Holy Cross,6,42307,7051,2005
170,Cal Poly,6,41755,6959,2005
171,VMI,6,40242,6707,2005
172,Wofford,5,33371,6674,2005
173,Portland St,5,32984,6597,2005
174,Southeast Mo St,5,32887,6577,2005
175,Morehead St,5,31343,6269,2005
176,Mississippi Val,5,31338,6268,2005
177,Eastern Ill,6,37094,6182,2005
178,Tennessee Tech,5,30858,6172,2005
179,Chattanooga,5,30614,6123,2005
180,Richmond,7,42464,6066,2005
181,Samford,5,29694,5939,2005
182,Sacramento St,6,34998,5833,2005
183,Nicholls St,4,22318,5580,2005
184,Brown,5,27879,5576,2005
185,Lafayette,7,38943,5563,2005
186,Liberty,6,32512,5419,2005
187,Maine,5,27074,5415,2005
188,Dartmouth,5,26586,5317,2005
189,Towson,6,31847,5308,2005
190,Hofstra,5,26317,5263,2005
191,Colgate,6,30929,5155,2005
192,Dayton,5,25732,5146,2005
193,Columbia,5,24701,4940,2005
194,Fordham,5,22799,4560,2005
195,Bucknell,5,22126,4425,2005
196,Prairie View,4,17149,4287,2005
197,Tenn-Martin,6,23192,3865,2005
198,Savannah St,7,26257,3751,2005
199,Austin Peay,5,18320,3664,2005
200,Murray St,5,18248,3650,2005
201,Stony Brook,6,21263,3544,2005
202,Davidson,5,17691,3538,2005
203,Duquesne,4,13973,3493,2005
204,Northeastern,5,17134,3427,2005
205,Southern Utah,4,13056,3264,2005
206,San Diego,8,25727,3216,2005
207,Indiana St,6,19278,3213,2005
208,Delaware St,5,14318,2864,2005
209,Rhode Island,5,14235,2847,2005
210,Gardner-Webb,7,19650,2807,2005
211,Albany (NY),4,10512,2628,2005
212,Central Conn St,5,12434,2487,2005
213,Monmouth,4,9530,2383,2005
214,Wagner,6,14259,2377,2005
215,Drake,4,9376,2344,2005
216,Robert Morris,5,11574,2315,2005
217,Georgetown,6,13156,2193,2005
218,La Salle,6,12157,2026,2005
219,Marist,5,9950,1990,2005
220,Sacred Heart,5,9621,1924,2005
221,Charleston So,7,12943,1849,2005
222,Jacksonville,4,7357,1839,2005
223,Valparaiso,5,8247,1649,2005
224,Butler,6,8987,1498,2005
225,St Peter's,6,8471,1412,2005
226,Iona,5,6805,1361,2005
227,St Francis (Pa),5,5706,1141,2005
228,Tuskegee,4,45231,11307,2005
229,Miles,5,51074,10214,2005
230,Angelo St,7,66384,9483,2005
231,North Dakota,7,65980,9425,2005
232,Grand Valley St,8,73936,9242,2005
233,Pittsburg St,6,51341,8556,2005
234,Central Mo St,5,42294,8458,2005
235,North Ala,6,48399,8066,2005
236,Winston-Salem,6,48310,8051,2005
237,Albany St (Ga),5,40185,8037,2005
238,Morehouse,4,31124,7781,2005
239,South Dakota,6,45587,7597,2005
240,Central Ark,6,43961,7326,2005
241,Abilene Christian,5,34787,6957,2005
242,Virginia St,5,34666,6933,2005
243,NC Central,6,41237,6872,2005
244,Mo Southern St,4,26846,6711,2005
245,Fort Valley St,3,19862,6620,2005
246,Midwestern St,6,37666,6277,2005
247,Arkansas Tech,5,31134,6226,2005
248,Kentucky St,4,24270,6067,2005
249,Washburn,6,35751,5958,2005
250,Delta St,5,29626,5925,2005
251,Northwest Mo St,5,29250,5850,2005
252,Benedict,5,28604,5720,2005
253,Slippery Rock,5,27600,5520,2005
254,Northeastern St,5,26816,5363,2005
255,Valdosta St,7,37293,5327,2005
256,Harding,5,26013,5202,2005
257,Shaw,5,25976,5195,2005
258,Lenoir-Rhyne,4,20050,5012,2005
259,Neb-Omaha,7,34257,4893,2005
260,Southern Ark,5,24124,4824,2005
261,Central Okla,4,19220,4805,2005
262,Mo Western St,7,32294,4613,2005
263,Tarleton St,5,22808,4561,2005
264,Emporia St,5,22401,4480,2005
265,Neb-Kearney,7,30550,4364,2005
266,Saginaw Valley,6,26139,4356,2005
267,West Chester,5,21222,4244,2005
268,Southeastern Okla,4,16933,4233,2005
269,East Central,5,20600,4120,2005
270,Minn St Mankato,5,20207,4041,2005
271,Carson-Newman,3,11867,3955,2005
272,St Cloud St,6,23613,3935,2005
273,Presbyterian,6,23287,3881,2005
274,Shepherd,7,26245,3749,2005
275,Bloomsburg,6,22482,3747,2005
276,Minn Duluth,5,18725,3745,2005
277,Northern St,5,18245,3649,2005
278,Shippensburg,5,18222,3644,2005
279,Fayetteville St,5,17991,3598,2005
280,Livingstone,4,14371,3592,2005
281,Johnson C Smith,5,17810,3562,2005
282,East Stroudsburg,6,21252,3542,2005
283,Northern Mich,5,17530,3506,2005
284,St Augustine's,3,10240,3413,2005
285,Clark Atlanta,6,20248,3374,2005
286,Augustana (SD),5,16808,3361,2005
287,Ouachita Baptist,5,16781,3356,2005
288,West Ala,6,20100,3350,2005
289,Stillman,5,16270,3254,2005
290,Edinboro,6,19309,3218,2005
291,Millersville,4,12850,3212,2005
292,Catawba,6,19239,3206,2005
293,Elizabeth City St,4,12770,3192,2005
294,Indiana (Pa),5,15962,3192,2005
295,North Greenville,5,15934,3186,2005
296,Lane,5,15759,3151,2005
297,California (Pa),5,15550,3110,2005
298,Indianapolis,5,15423,3084,2005
299,Winona St,5,15367,3073,2005
300,Ashland,5,15300,3060,2005
301,West Ga,5,15187,3037,2005
302,Henderson St,5,15012,3002,2005
303,Mo-Rolla,6,17900,2983,2005
304,Southwestern Okla,6,17700,2950,2005
305,Kutztown,5,14500,2900,2005
306,Northwood,6,17200,2866,2005
307,Ark-Monticello,5,14158,2831,2005
308,Bryant,5,13995,2799,2005
309,Bowie St,4,11185,2796,2005
310,Fort Hays St,5,13943,2788,2005
311,Humboldt St,6,16564,2760,2005
312,Wingate,5,13780,2756,2005
313,Mars Hill,5,13544,2708,2005
314,Newberry,5,13535,2707,2005
315,Truman,4,10806,2701,2005
316,Michigan Tech,4,10733,2683,2005
317,Western Wash,4,10353,2588,2005
318,Lock Haven,5,12896,2579,2005
319,Clarion,6,15450,2575,2005
320,Chadron St,5,12750,2550,2005
321,Central Wash,5,12594,2518,2005
322,Virginia Union,4,10014,2503,2005
323,Ferris St,5,12244,2448,2005
324,Fort Lewis,4,9470,2367,2005
325,Bentley,5,11805,2361,2005
326,Glenville St,4,9246,2311,2005
327,Wayne St (Mich),5,11356,2271,2005
328,Western Ore,6,13500,2250,2005
329,St Paul's,2,4280,2140,2005
330,Tusculum,5,10663,2132,2005
331,Adams St,5,10281,2056,2005
332,Cheyney,5,10171,2034,2005
333,Hillsdale,5,9576,1915,2005
334,Concord,5,9500,1900,2005
335,CW Post,6,11370,1895,2005
336,Colorado Mines,6,11335,1889,2005
337,Merrimack,5,9424,1884,2005
338,Mesa St,6,11150,1858,2005
339,Southwest Minn St,5,9216,1843,2005
340,Concordia-St Paul,5,9090,1818,2005
341,Southern Conn St,5,8971,1794,2005
342,Southwest Baptist,5,8752,1750,2005
343,NM Highlands,5,8700,1740,2005
344,Gannon,5,8186,1637,2005
345,Mansfield,4,6471,1617,2005
346,Findlay,6,9506,1584,2005
347,West Liberty St,6,9365,1560,2005
348,Eastern NM,5,7748,1549,2005
349,Mercyhurst,5,7472,1494,2005
350,Stonehill,5,7471,1494,2005
351,St Joseph's (Ind),6,8770,1461,2005
352,Assumption,5,7189,1437,2005
353,Bemidji St,4,5532,1383,2005
354,St Anselm,5,6425,1285,2005
355,Pace,5,6010,1202,2005
356,West Virginia St,6,7154,1192,2005
357,Okla Panhandle,4,4750,1187,2005
358,Upper Iowa,6,6923,1153,2005
359,Lincoln (Mo),2,2294,1147,2005
360,Fairmont St,5,5641,1128,2005
361,Tiffin,6,6522,1087,2005
362,Charleston (WV),6,6414,1069,2005
363,Wayne St (Neb),5,5330,1066,2005
364,St John's (Minn),5,39625,7925,2005
365,Ithaca,5,23914,4782,2005
366,Linfield,6,26500,4416,2005
367,Concordia-M'head,6,24550,4091,2005
368,Wartburg,5,19982,3996,2005
369,Hampden-Sydney,5,19934,3986,2005
370,Trinity (Conn),4,15774,3943,2005
371,Chris Newport,6,23113,3852,2005
372,Williams,4,15236,3809,2005
373,Mount Union,9,34067,3785,2005
374,Mary Hardin-Baylor,6,22224,3704,2005
375,Wis-Whitewater,8,28596,3574,2005
376,Adrian,5,17331,3466,2005
377,Louisiana Col,3,10362,3454,2005
378,McDaniel,4,13800,3450,2005
379,Delaware Valley,8,27300,3412,2005
380,Bethel (Minn),5,16777,3355,2005
381,Mississippi Col,5,16491,3298,2005
382,Amherst,4,13100,3275,2005
383,Wis-Eau Claire,5,16200,3240,2005
384,Wesleyan (Conn),3,9704,3234,2005
385,Wabash,7,22323,3189,2005
386,Wilmington (Ohio),5,15805,3161,2005
387,Wis-La Crosse,4,12409,3102,2005
388,Baldwin-Wallace,5,15457,3091,2005
389,Hardin-Simmons,5,15379,3075,2005
390,Rowan,6,18353,3058,2005
391,Olivet,5,15197,3039,2005
392,John Carroll,5,15093,3018,2005
393,Wheaton (Ill),5,14843,2968,2005
394,Loras,5,14805,2961,2005
395,Wittenberg,5,14474,2894,2005
396,Wooster,5,14307,2861,2005
397,Maryville (Tenn),5,14262,2852,2005
398,St John Fisher,6,16693,2782,2005
399,Otterbein,5,13869,2773,2005
400,Cortland St,4,11000,2750,2005
401,Ferrum,5,13568,2713,2005
402,Capital,5,13434,2686,2005
403,Wis-Platteville,5,13349,2669,2005
404,Hanover,3,8000,2666,2005
405,Ohio Northern,5,13125,2625,2005
406,DePauw,6,15700,2616,2005
407,Coast Guard,5,13050,2610,2005
408,Shenandoah,5,13002,2600,2005
409,McMurry,6,15578,2596,2005
410,North Central (Ill),6,15550,2591,2005
411,Lycoming,6,15417,2569,2005
412,Grove City,5,12800,2560,2005
413,St Thomas (Minn),5,12700,2540,2005
414,Millsaps,5,12638,2527,2005
415,Simpson,5,12500,2500,2005
416,Wesley,6,14894,2482,2005
417,Bridgewater (Va),5,12275,2455,2005
418,Ohio Wesleyan,5,12230,2446,2005
419,Moravian,5,12156,2431,2005
420,Albion,5,12010,2402,2005
421,Texas Lutheran,4,9546,2386,2005
422,Gust Adolphus,5,11916,2383,2005
423,Central (Iowa),4,9500,2375,2005
424,Wis-Stout,5,11642,2328,2005
425,FDU-Florham,5,11570,2314,2005
426,St Olaf,5,11527,2305,2005
427,Bowdoin,4,9179,2294,2005
428,Mt St Joseph,5,11456,2291,2005
429,Chapman,4,9132,2283,2005
430,Muskingum,6,13557,2259,2005
431,Millikin,6,13497,2249,2005
432,Howard Payne,5,11219,2243,2005
433,Monmouth (Ill),5,10715,2143,2005
434,Randolph-Macon,5,10704,2140,2005
435,Hope,5,10660,2132,2005
436,East Tex Baptist,5,10567,2113,2005
437,Gettysburg,5,10547,2109,2005
438,Buena Vista,5,10400,2080,2005
439,Hobart,5,10346,2069,2005
440,Union (NY),7,14445,2063,2005
441,Rose-Hulman,5,10300,2060,2005
442,Huntingdon,5,10215,2043,2005
443,Wilkes,5,10200,2040,2005
444,Thomas More,4,8091,2022,2005
445,Muhlenberg,5,10049,2009,2005
446,Coe,5,10000,2000,2005
447,Case Reserve,5,9956,1991,2005
448,Alma,5,9840,1968,2005
449,Juniata,5,9745,1949,2005
450,Curry,6,11688,1948,2005
451,Carroll (Wis),5,9697,1939,2005
452,Thiel,7,13532,1933,2005
453,Trinity (Tex),5,9650,1930,2005
454,Catholic,7,13500,1928,2005
455,Rochester,5,9637,1927,2005
456,Whitworth,5,9605,1921,2005
457,King's (Pa),5,9450,1890,2005
458,Ursinus,5,9278,1855,2005
459,Willamette,5,9086,1817,2005
460,Pacific Lutheran,4,7200,1800,2005
461,Cal Lutheran,4,7178,1794,2005
462,Carnegie Mellon,5,8959,1791,2005
463,Puget Sound,4,7122,1780,2005
464,Hamline,4,7113,1778,2005
465,Knox,5,8800,1760,2005
466,Defiance,5,8700,1740,2005
467,Susquehanna,5,8550,1710,2005
468,Westminster (Pa),6,10213,1702,2005
469,Anderson (Ind),5,8500,1700,2005
470,Albright,4,6789,1697,2005
471,Wm Paterson,6,10077,1679,2005
472,Redlands,4,6657,1664,2005
473,Middlebury,4,6455,1613,2005
474,St Norbert,5,7982,1596,2005
475,Sul Ross St,5,7862,1572,2005
476,Greensboro,5,7862,1572,2005
477,Elmhurst,5,7795,1559,2005
478,Dickinson,6,9350,1558,2005
479,Allegheny,5,7786,1557,2005
480,Sewanee,5,7676,1535,2005
481,Marietta,6,9131,1521,2005
482,Brockport St,4,6023,1505,2005
483,Wis-Oshkosh,5,7526,1505,2005
484,Norwich,6,9000,1500,2005
485,Rhodes,4,6000,1500,2005
486,Wis-Stevens Point,6,8964,1494,2005
487,Widener,5,7460,1492,2005
488,Lebanon Valley,5,7368,1473,2005
489,Franklin,5,7350,1470,2005
490,Tufts,4,5825,1456,2005
491,Waynesburg,5,7200,1440,2005
492,TCNJ,6,8590,1431,2005
493,Hamilton,4,5716,1429,2005
494,Beloit,5,6975,1395,2005
495,NC Wesleyan,5,6900,1380,2005
496,Utica,5,6822,1364,2005
497,Western New Eng,4,5450,1362,2005
498,Rensselaer,5,6765,1353,2005
499,Occidental,4,5379,1344,2005
500,St Lawrence,4,5325,1331,2005
501,Colby,4,5283,1320,2005
502,Heidelberg,5,6534,1306,2005
503,Salisbury,7,9041,1291,2005
504,Carthage,4,5130,1282,2005
505,Neb Wesleyan,5,6200,1240,2005
506,Kean,6,7395,1232,2005
507,Illinois Col,5,6135,1227,2005
508,Wis Lutheran,4,4868,1217,2005
509,Luther,6,7275,1212,2005
510,Hartwick,5,5932,1186,2005
511,Ill Wesleyan,5,5850,1170,2005
512,Manchester,5,5848,1169,2005
513,Westfield St,5,5804,1160,2005
514,Augustana (Ill),7,8095,1156,2005
515,Dubuque,5,5726,1145,2005
516,Buffalo St,4,4537,1134,2005
517,Westminster (Mo),5,5633,1126,2005
518,Bridgewater St,5,5524,1104,2005
519,Hiram,5,5512,1102,2005
520,Frostburg St,5,5500,1100,2005
521,Fitchburg St,6,6484,1080,2005
522,Chicago,4,4290,1072,2005
523,Denison,5,5217,1043,2005
524,Kalamazoo,4,4150,1037,2005
525,Methodist,4,4151,1037,2005
526,Bethany (WV),6,6138,1023,2005
527,Earlham,5,5062,1012,2005
528,Michigan,7,770183,110026,2006
529,Penn St,7,752972,107567,2006
530,Tennessee,7,740521,105789,2006
531,Ohio St,7,735674,105096,2006
532,Georgia,7,649222,92746,2006
533,LSU,8,737696,92212,2006
534,Alabama,8,737104,92138,2006
535,Southern California,6,548880,91480,2006
536,Florida,7,632866,90409,2006
537,Texas,7,619534,88505,2006
538,Auburn,8,680506,85063,2006
539,Nebraska,7,595309,85044,2006
540,Oklahoma,6,507366,84561,2006
541,Clemson,7,580942,82992,2006
542,Wisconsin,7,569576,81368,2006
543,Notre Dame,7,565565,80795,2006
544,Florida St,8,644256,80532,2006
545,South Carolina,7,529412,75630,2006
546,Arkansas,6,443368,73895,2006
547,Michigan St,7,495731,70819,2006
548,Iowa,7,494095,70585,2006
549,Virginia Tech,8,529864,66233,2006
550,UCLA,7,454683,64955,2006
551,California,7,450223,64318,2006
552,Brigham Young,6,363146,60524,2006
553,West Virginia,7,411408,58773,2006
554,Oregon,6,350267,58378,2006
555,Virginia,6,346389,57732,2006
556,Washington,6,344897,57483,2006
557,Kentucky,7,401307,57330,2006
558,North Carolina St,7,395779,56540,2006
559,Missouri,7,391424,55918,2006
560,Arizona,7,390589,55798,2006
561,Purdue,7,388198,55457,2006
562,Arizona St,6,327369,54562,2006
563,Mississippi,7,376604,53801,2006
564,Minnesota,6,313239,52207,2006
565,Texas Tech,6,305243,50874,2006
566,Georgia Tech,7,354321,50617,2006
567,Maryland,7,345752,49393,2006
568,North Carolina,7,342000,48857,2006
569,Kansas St,8,373547,46693,2006
570,Iowa St,7,323197,46171,2006
571,Colorado,6,276286,46048,2006
572,Kansas,7,308961,44137,2006
573,Illinois,7,304118,43445,2006
574,Pittsburgh,7,303138,43305,2006
575,Utah,6,259675,43279,2006
576,UTEP,6,254662,42444,2006
577,Miami (Fla),7,293359,41908,2006
578,Stanford,5,208710,41742,2006
579,Mississippi St,7,290688,41527,2006
580,Louisville,6,248891,41482,2006
581,Rutgers,6,246675,41113,2006
582,Oklahoma St,6,245726,40954,2006
583,Oregon St,7,285808,40830,2006
584,Connecticut,7,272576,38939,2006
585,Boston College,7,271903,38843,2006
586,Fresno St,6,231307,38551,2006
587,Air Force,6,228206,38034,2006
588,Syracuse,6,223577,37263,2006
589,East Caro,6,223006,37168,2006
590,Baylor,7,259559,37080,2006
591,Hawaii,8,292708,36589,2006
592,Vanderbilt,6,209168,34861,2006
593,Washington St,7,242698,34671,2006
594,Navy,5,166375,33275,2006
595,Indiana,7,231443,33063,2006
596,Wake Forest,6,195091,32515,2006
597,Memphis,7,227077,32440,2006
598,TCU,6,191557,31926,2006
599,UCF,7,220980,31569,2006
600,Army,5,153469,30694,2006
601,Boise St,6,182718,30453,2006
602,South Fla,6,181333,30222,2006
603,San Diego St,6,175364,29227,2006
604,Southern Miss,6,173963,28994,2006
605,New Mexico,7,200431,28633,2006
606,Northwestern,6,167973,27996,2006
607,Marshall,5,130155,26031,2006
608,Colorado St,5,120916,24183,2006
609,UAB,6,138835,23139,2006
610,Middle Tenn St,5,110185,22037,2006
611,Houston,8,175277,21910,2006
612,Central Mich,5,107817,21563,2006
613,Tulsa,6,128186,21364,2006
614,Troy,5,104048,20810,2006
615,Northern Ill,6,124623,20771,2006
616,Cincinnati,7,142613,20373,2006
617,Toledo,6,121863,20311,2006
618,Duke,7,137061,19580,2006
619,UNLV,6,115442,19240,2006
620,Wyoming,6,114653,19109,2006
621,Arkansas St,5,95344,19069,2006
622,Tulane,5,94710,18942,2006
623,San Jose St,7,131978,18854,2006
624,Western Mich,5,93124,18625,2006
625,La-Monroe,5,111564,18594,2006
626,New Mexico St,7,123172,17596,2006
627,Kent St,5,85018,17004,2006
628,Bowling Green,4,67335,16834,2006
629,Nevada,6,100367,16728,2006
630,Ohio,5,83622,16724,2006
631,Buffalo,5,82084,16417,2006
632,Akron,5,80658,16132,2006
633,Temple,4,63241,15810,2006
634,North Texas,5,78249,15650,2006
635,Southern Methodist,6,92565,15428,2006
636,Miami (Ohio),5,76219,15244,2006
637,Florida Int'l,5,75552,15110,2006
638,Ball St,6,90367,15061,2006
639,Rice,4,59041,14760,2006
640,Eastern Mich,4,58934,14734,2006
641,Louisiana Tech,5,72928,14586,2006
642,Idaho,5,72717,14543,2006
643,La-Lafayette,6,87096,14516,2006
644,Utah St,5,56800,11360,2006
645,Fla Atlantic,5,46382,9276,2006
646,Montana,9,203403,22600,2006
647,Delaware,7,152773,21825,2006
648,Appalachian St,9,184911,20546,2006
649,Jackson St,5,101572,20314,2006
650,Yale,5,92809,18562,2006
651,Southern U,5,82265,16453,2006
652,Ga Southern,7,109281,15612,2006
653,Harvard,5,77742,15548,2006
654,Youngstown St,8,121269,15159,2006
655,James Madison,5,75664,15133,2006
656,Citadel,5,72996,14599,2006
657,South Carolina St,4,58374,14594,2006
658,Alcorn St,3,39955,13318,2006
659,Grambling,3,39686,13229,2006
660,Texas St,6,77314,12886,2006
661,Illinois St,5,64021,12804,2006
662,Montana St,7,89309,12758,2006
663,Tennessee St,5,62849,12570,2006
664,Furman,6,74649,12442,2006
665,Princeton,5,61100,12220,2006
666,Penn,5,60104,12021,2006
667,Norfolk St,7,83871,11982,2006
668,Massachusetts,8,93301,11663,2006
669,Alabama St,4,44879,11220,2006
670,Liberty,6,66765,11128,2006
671,UNI,6,66721,11120,2006
672,McNeese St,6,65293,10882,2006
673,Western Ill,5,53506,10701,2006
674,Jacksonville St,4,41775,10444,2006
675,Hampton,6,60578,10096,2006
676,Missouri St,6,60270,10045,2006
677,Eastern Ky,5,48800,9760,2006
678,Southern Ill,7,66556,9508,2006
679,Sam Houston St,5,47347,9469,2006
680,Lehigh,6,54962,9160,2006
681,Northwestern St,5,45303,9061,2006
682,Western Ky,6,54306,9051,2006
683,Western Caro,5,44026,8805,2006
684,Villanova,5,41819,8364,2006
685,Lafayette,5,41682,8336,2006
686,Wofford,6,50002,8334,2006
687,New Hampshire,5,40706,8141,2006
688,Coastal Caro,6,48805,8134,2006
689,Ark-Pine Bluff,5,40069,8014,2006
690,Cal Poly,5,39369,7874,2006
691,VMI,4,30929,7732,2006
692,Stephen F Austin,6,46115,7686,2006
693,Chattanooga,4,29928,7482,2006
694,Morgan St,4,29833,7458,2006
695,Idaho St,5,37176,7435,2006
696,Portland St,4,29182,7296,2006
697,Richmond,6,43580,7263,2006
698,Bethune-Cookman,6,43132,7189,2006
699,Eastern Wash,5,35580,7116,2006
700,Southeast Mo St,5,34247,6849,2006
701,Elon,6,40026,6671,2006
702,Mississippi Val,5,33333,6667,2006
703,Northern Ariz,5,33042,6608,2006
704,Brown,5,32585,6517,2006
705,Eastern Ill,6,38690,6448,2006
706,Weber St,6,35976,5996,2006
707,Southeastern La,5,29805,5961,2006
708,Sacramento St,5,29106,5821,2006
709,Holy Cross,5,28710,5742,2006
710,Texas Southern,4,22705,5676,2006
711,Dartmouth,5,27983,5597,2006
712,Prairie View,5,26643,5329,2006
713,Samford,6,31921,5320,2006
714,Southern Utah,5,26110,5222,2006
715,Maine,5,26039,5208,2006
716,Hofstra,4,20402,5101,2006
717,Tennessee Tech,5,25174,5035,2006
718,Cornell,6,30045,5008,2006
719,Columbia,6,27674,4612,2006
720,Morehead St,5,22999,4600,2006
721,Towson,6,27551,4592,2006
722,Nicholls St,6,27439,4573,2006
723,Bucknell,6,27406,4568,2006
